,total_cases,year,weekofyear,week_start_date,month,fall,spring,summer,winter,station_avg_temp_c,station_max_temp_c,station_min_temp_c,reanalysis_tdtr_k,reanalysis_specific_humidity_g_per_kg,reanalysis_precip_amt_kg_per_m2,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,ndvi_average,ndvi_average_cat,grassy,soily,watery,station_avg_temp_c_shift,station_max_temp_c_shift,station_min_temp_c_shift,reanalysis_tdtr_k_shift,reanalysis_specific_humidity_g_per_kg_shift,reanalysis_precip_amt_kg_per_m2_shift,grassy_shift,soily_shift,watery_shift,station_max_temp_c_shift_18,station_min_temp_c_shift_18,station_avg_temp_c_shift_18,reanalysis_tdtr_k_shift_8,reanalysis_specific_humidity_g_per_kg_shift_12,reanalysis_precip_amt_kg_per_m2_shift_8,grassy_shift_20,soily_shift_20,watery_shift_20
0,2,1990.0,29.0,1990-07-16,7,0,0,1,0,28.12857143,32.8,23.9,2.414285714,17.73714286,40.9,0.29159999999999997,0.2118,0.3012,0.2806667,0.271316675,grassy,1,0,0,28.32857143,33.9,24.4,2.014285714,18.07142857,28.4,0.0,1.0,0.0,32.989999999999995,22.94,27.584285712000003,2.169642857125,16.840285713,26.65,0.3,0.7,0.0
1,6,1990.0,30.0,1990-07-23,7,0,0,1,0,28.11428571,31.7,22.8,2.071428571,17.34142857,42.53,0.1505667,0.1717,0.2269,0.2145571,0.19093095,grassy,1,0,0,27.55714286,31.7,21.7,2.157142857,17.41857143,43.72,0.0,1.0,0.0,32.87272727272727,22.827272727272728,27.581818180000003,2.15178571425,16.892857141818183,28.8525,0.2727272727272727,0.7272727272727273,0.0
2,17,1990.0,31.0,1990-07-30,7,0,0,1,0,28.24285714,34.4,22.8,2.585714286,17.59428571,34.6,0.234096666,0.24715000000000004,0.3797,0.3813571,0.3105759415,grassy,1,0,0,28.12857143,32.8,23.9,2.414285714,17.73714286,40.9,1.0,0.0,0.0,32.86666666666667,22.916666666666668,27.62738095083333,2.1499999998750003,16.963214285,32.2275,0.3333333333333333,0.6666666666666666,0.0
3,23,1990.0,32.0,1990-08-06,8,0,0,1,0,28.2,33.3,23.3,2.328571429,17.95,20.0,0.08196666,0.06433333,0.1644429,0.1388571,0.1123999975,soily,0,1,0,28.11428571,31.7,22.8,2.071428571,17.34142857,42.53,1.0,0.0,0.0,32.776923076923076,22.907692307692308,27.664835163076926,2.032142857,17.2405952375,36.018750000000004,0.38461538461538464,0.6153846153846154,0.0
4,13,1990.0,33.0,1990-08-13,8,0,0,1,0,28.04285714,32.8,22.8,1.857142857,18.51571429,101.9,0.10319999999999999,0.1280333,0.2069571,0.1682429,0.151608325,soily,0,1,0,28.24285714,34.4,22.8,2.585714286,17.59428571,34.6,1.0,0.0,0.0,32.892857142857146,22.900000000000002,27.706122447142857,2.0928571427500002,17.425714285,37.0325,0.42857142857142855,0.5714285714285714,0.0
5,21,1990.0,34.0,1990-08-20,8,0,0,1,0,28.34285714,33.3,23.3,2.485714286,18.17428571,25.9,0.1902333,0.1688,0.1676571,0.1722857,0.174744025,grassy,1,0,0,28.2,33.3,23.3,2.328571429,17.95,20.0,0.0,1.0,0.0,32.919999999999995,22.926666666666666,27.739047617333334,2.1285714285000004,17.517499999166667,34.707499999999996,0.4,0.6,0.0
6,28,1990.0,35.0,1990-08-27,8,0,0,1,0,28.65714286,32.2,24.4,1.9,18.51571429,39.8,0.2529,0.33075,0.2641714,0.2843143,0.283033925,grassy,1,0,0,28.04285714,32.8,22.8,1.857142857,18.51571429,101.9,0.0,1.0,0.0,32.9125,22.91875,27.7580357125,2.16428571425,17.67107142833333,43.695,0.375,0.625,0.0
7,24,1990.0,36.0,1990-09-03,9,1,0,0,0,28.32857143,32.8,23.3,3.471428571,17.56,30.4,0.2354,0.200025,0.2838167,0.2304429,0.23742115,grassy,1,0,0,28.34285714,33.3,23.3,2.485714286,18.17428571,25.9,1.0,0.0,0.0,32.93529411764706,22.941176470588236,27.792436972941175,2.2392857142500002,17.751428570833333,42.24375,0.4117647058823529,0.5882352941176471,0.0
8,20,1990.0,37.0,1990-09-10,9,1,0,0,0,28.68571429,33.9,24.4,2.9,18.77714286,24.18,0.1279667,0.4371,0.1234,0.1482833,0.2091875,grassy,1,0,0,28.65714286,32.2,24.4,1.9,18.51571429,39.8,1.0,0.0,0.0,32.894444444444446,23.022222222222222,27.84047618888889,2.225,17.86,43.66875,0.4444444444444444,0.5555555555555556,0.0
9,40,1990.0,38.0,1990-09-17,9,1,0,0,0,28.24285714,32.8,23.9,1.742857143,17.89285714,36.6,0.19635,0.1824333,0.2548286,0.3056857,0.2348244,grassy,1,0,0,28.32857143,32.8,23.3,3.471428571,17.56,30.4,1.0,0.0,0.0,33.083333333333336,23.205555555555556,28.000793649444446,2.38928571425,17.8871428575,42.00375,0.47368421052631576,0.5263157894736842,0.0
10,27,1990.0,39.0,1990-09-24,9,1,0,0,0,28.34285714,32.8,24.4,2.257142857,17.46857143,16.4,0.11610000000000001,0.26089999999999997,0.1994429,0.2442167,0.20516489999999998,grassy,1,0,0,28.68571429,33.9,24.4,2.9,18.77714286,24.18,1.0,0.0,0.0,33.20555555555555,23.32777777777778,28.110317459444445,2.4499999999999997,17.953809524166665,39.91375,0.5,0.5,0.0
